Елемент;Кількість;Частота
то;4719;0.018293675714651222
ст;3256;0.012622209817102008
не;3239;0.01255630761596849
ов;3121;0.012098868808100544
но;3031;0.011749974802099567
на;2937;0.01138557439583188
го;2779;0.01077307158529683
ен;2544;0.009862070569627613
от;2536;0.009831057769094194
по;2474;0.009590708564960188
ос;2455;0.009517053163693315
ко;2423;0.009393001961559634
ал;2419;0.009377495561292923
он;2403;0.009315469960226083
во;2167;0.008400592344490188
ни;2107;0.008167996340489538
ка;2095;0.008121477139689406
ро;2090;0.008102094139356019
пр;2068;0.008016808937889114
ес;2042;0.007916017336155498
ет;2015;0.007811349134355205
ть;1991;0.007718310732754944
ра;1984;0.007691174532288202
ли;1919;0.007439195527954163
ор;1891;0.007330650726087192
ер;1879;0.007284131525287062
та;1877;0.007276378325153707
ак;1860;0.0072104761240201895
ит;1841;0.007136820722753317
те;1803;0.00698950992021957
ом;1784;0.006915854518952698
ло;1740;0.006745284116018887
ве;1734;0.006722024515618822
од;1722;0.006675505314818691
ва;1666;0.0064584157110847504
ем;1652;0.006404143310151265
ре;1643;0.006369253909551167
ел;1619;0.006276215507950907
да;1618;0.006272338907884229
ог;1601;0.006206436706750711
ол;1589;0.006159917505950581
ас;1589;0.006159917505950581
ат;1558;0.006039742903883578
ле;1555;0.006028113103683545
ри;1543;0.005981593902883415
ил;1529;0.00592732150194993
ан;1519;0.005888555501283155
мо;1487;0.005764504299149474
ла;1484;0.0057528744989494415
ав;1473;0.005710231898215989
вс;1418;0.005497018894548725
ив;1397;0.005415610293148497
об;1372;0.005318695291481559
до;1368;0.005303188891214849
ин;1366;0.0052954356910814935
ед;1353;0.005245039890214686
ти;1350;0.005233410090014654
же;1336;0.005179137689081168
де;1335;0.005175261089014491
ам;1315;0.00509772908768094
ме;1306;0.005062839687080842
за;1303;0.00505120988688081
се;1298;0.005031826886547423
ег;1288;0.004993060885880647
чт;1278;0.004954294885213872
ис;1195;0.004632537079679638
бы;1167;0.004523992277812667
