Елемент;Кількість;Частота
о;58211;0.1128301645419709
е;46439;0.09001254077690791
а;40138;0.07779933593969572
и;34656;0.0671735957528052
т;34166;0.06622383057739908
н;31944;0.06191693625137377
с;27555;0.053409753894521794
в;24349;0.04719557603257889
л;22815;0.04422222954467482
р;20897;0.04050457728665657
м;17101;0.03314680462167364
д;16610;0.03219510114999118
к;16523;0.032026469373949686
у;14635;0.02836696600422161
п;12753;0.024719092412151568
ь;10946;0.02121659104080695
я;10459;0.020272640754229847
г;10000;0.019382962763390237
ч;9443;0.0183033317374694
б;9368;0.018157959516743972
ы;8801;0.017058945528059748
з;7746;0.015014042956522077
ж;5646;0.010943620776210127
ш;5333;0.010336934041716012
й;5306;0.010284600042254859
х;4164;0.008071065694675694
ю;3598;0.006973990002267807
ц;1966;0.00381069047928252
э;1852;0.0035897247037798715
щ;1519;0.002944272043758977
ф;978;0.001895653758259565
